token	corpus size	all contexts size	frequency	co-frequency	specificity
75	175444	1892	12	1	0.94
x	175444	1892	12	1	0.94
sorento	175444	1892	12	1	0.94
129	175444	1892	12	1	0.94
ўласных	175444	1892	12	1	0.94
39	175444	1892	12	1	0.94
n	175444	1892	12	1	0.94
спосаб	175444	1892	12	1	0.94
некалькі	175444	1892	63	2	0.93
часта	175444	1892	64	2	0.92
3	175444	1892	136	3	0.92
сістэмы	175444	1892	65	2	0.91
імкнуцца	175444	1892	13	1	0.91
kia	175444	1892	13	1	0.91
месяцаў	175444	1892	13	1	0.91
правіла	175444	1892	13	1	0.91
галоўнай	175444	1892	13	1	0.91
дзеянняў	175444	1892	13	1	0.91
галоўнае	175444	1892	13	1	0.91
цягам	175444	1892	13	1	0.91
добры	175444	1892	13	1	0.91
варыянт	175444	1892	13	1	0.91
shahed	175444	1892	13	1	0.91
версій	175444	1892	13	1	0.91
136	175444	1892	13	1	0.91
даступны	175444	1892	13	1	0.91
застаецца	175444	1892	13	1	0.91
больш	175444	1892	409	6	0.90
мэта	175444	1892	14	1	0.88
рынак	175444	1892	14	1	0.88
90	175444	1892	14	1	0.88
хуткасць	175444	1892	14	1	0.88
audi	175444	1892	14	1	0.88
іншая	175444	1892	14	1	0.88
здольны	175444	1892	14	1	0.88
вялікія	175444	1892	14	1	0.88
ўсю	175444	1892	14	1	0.88
паступова	175444	1892	14	1	0.88
сваё	175444	1892	70	2	0.87
раз	175444	1892	70	2	0.87
будуць	175444	1892	70	2	0.87
ж	175444	1892	234	4	0.87
выпадках	175444	1892	15	1	0.86
адпаведна	175444	1892	15	1	0.86
вымушаны	175444	1892	15	1	0.86
дадзеных	175444	1892	15	1	0.86
зша	175444	1892	15	1	0.86
будучыні	175444	1892	15	1	0.86
забяспечыць	175444	1892	15	1	0.86
трохі	175444	1892	15	1	0.86
2018	175444	1892	15	1	0.86
мадэль	175444	1892	15	1	0.86
даволі	175444	1892	74	2	0.84
якую	175444	1892	75	2	0.83
сонечнай	175444	1892	16	1	0.83
абодва	175444	1892	16	1	0.83
цыкл	175444	1892	16	1	0.83
вы	175444	1892	78	2	0.81
opel	175444	1892	17	1	0.81
250	175444	1892	17	1	0.81
думку	175444	1892	17	1	0.81
электрычны	175444	1892	17	1	0.81
другім	175444	1892	17	1	0.81
поўную	175444	1892	17	1	0.81
хаця	175444	1892	79	2	0.81
атрымаў	175444	1892	18	1	0.79
c	175444	1892	18	1	0.79
выконваць	175444	1892	18	1	0.79
кампанія	175444	1892	18	1	0.79
выбар	175444	1892	18	1	0.79
згодна	175444	1892	18	1	0.79
новым	175444	1892	18	1	0.79
рынку	175444	1892	18	1	0.79
быць	175444	1892	168	3	0.79
мець	175444	1892	83	2	0.78
сваіх	175444	1892	170	3	0.78
незалежна	175444	1892	19	1	0.77
колы	175444	1892	19	1	0.77
якое	175444	1892	87	2	0.76
яна	175444	1892	287	4	0.76
звычайна	175444	1892	20	1	0.76
галоўная	175444	1892	20	1	0.76
выпадак	175444	1892	20	1	0.76
саміх	175444	1892	20	1	0.76
найбольш	175444	1892	89	2	0.75
ступені	175444	1892	90	2	0.75
заявіў	175444	1892	21	1	0.74
ёмістасць	175444	1892	21	1	0.74
прыватнасці	175444	1892	21	1	0.74
самім	175444	1892	21	1	0.74
высокай	175444	1892	21	1	0.74
час	175444	1892	306	4	0.74
вось	175444	1892	94	2	0.73
крыху	175444	1892	22	1	0.72
рашэнні	175444	1892	22	1	0.72
залежнасці	175444	1892	22	1	0.72
патрэбна	175444	1892	22	1	0.72
22	175444	1892	22	1	0.72
яны	175444	1892	408	4	0.71
якія	175444	1892	397	4	0.71
аўтамабіль	175444	1892	23	1	0.71
так	175444	1892	362	4	0.71
з'яўляецца	175444	1892	99	2	0.71
цалкам	175444	1892	101	2	0.70
колькасць	175444	1892	24	1	0.70
2021	175444	1892	24	1	0.70
новых	175444	1892	25	1	0.68
выкарыстоўваць	175444	1892	25	1	0.68
eqa	175444	1892	25	1	0.68
спажывання	175444	1892	25	1	0.68
з'яўляюцца	175444	1892	26	1	0.67
ходу	175444	1892	27	1	0.66
адносінах	175444	1892	27	1	0.66
стане	175444	1892	27	1	0.66
таго	175444	1892	295	3	0.65
адно	175444	1892	28	1	0.65
тры	175444	1892	28	1	0.65
б	175444	1892	281	3	0.65
адзін	175444	1892	119	2	0.64
правядзення	175444	1892	29	1	0.64
pro	175444	1892	29	1	0.64
лукашэнкі	175444	1892	29	1	0.64
масквы	175444	1892	29	1	0.64
вынікае	175444	1892	29	1	0.64
кожным	175444	1892	29	1	0.64
хоча	175444	1892	30	1	0.63
форме	175444	1892	30	1	0.63
якіх	175444	1892	127	2	0.62
версія	175444	1892	31	1	0.62
4	175444	1892	130	2	0.61
дастаткова	175444	1892	32	1	0.61
еўра	175444	1892	32	1	0.61
значнай	175444	1892	32	1	0.61
апошняй	175444	1892	33	1	0.60
мадэлі	175444	1892	33	1	0.60
іншым	175444	1892	33	1	0.60
цэнтральнай	175444	1892	34	1	0.59
большай	175444	1892	34	1	0.59
тое	175444	1892	145	2	0.59
часы	175444	1892	35	1	0.58
таму	175444	1892	221	2	0.58
тых	175444	1892	154	2	0.58
найперш	175444	1892	36	1	0.58
вну	175444	1892	36	1	0.58
зараз	175444	1892	36	1	0.58
магло	175444	1892	36	1	0.58
народ	175444	1892	158	2	0.58
той	175444	1892	209	2	0.57
гэтым	175444	1892	208	2	0.57
пад	175444	1892	201	2	0.57
хто	175444	1892	200	2	0.57
ўсіх	175444	1892	198	2	0.57
можна	175444	1892	173	2	0.57
зн	175444	1892	38	1	0.56
сіл	175444	1892	39	1	0.56
новыя	175444	1892	40	1	0.55
даць	175444	1892	40	1	0.55
9	175444	1892	40	1	0.55
сваёй	175444	1892	175	1	0.54
пасля	175444	1892	174	1	0.54
аўтаноміі	175444	1892	173	1	0.54
практычна	175444	1892	43	1	0.53
часам	175444	1892	43	1	0.53
сталі	175444	1892	43	1	0.53
вялікі	175444	1892	45	1	0.52
мог	175444	1892	45	1	0.52
аўтаномнасці	175444	1892	46	1	0.52
заўсёды	175444	1892	48	1	0.51
або	175444	1892	157	1	0.51
новага	175444	1892	49	1	0.50
працягу	175444	1892	50	1	0.50
18	175444	1892	50	1	0.50
амаль	175444	1892	51	1	0.50
падчас	175444	1892	52	1	0.49
праз	175444	1892	149	1	0.49
з-за	175444	1892	54	1	0.48
іншыя	175444	1892	56	1	0.48
чаму	175444	1892	56	1	0.48
нягледзячы	175444	1892	57	1	0.47
зусім	175444	1892	139	1	0.47
ужо	175444	1892	128	1	0.46
многія	175444	1892	64	1	0.46
жа	175444	1892	123	1	0.45
6	175444	1892	70	1	0.45
могуць	175444	1892	71	1	0.45
яно	175444	1892	72	1	0.44
адукацыі	175444	1892	113	1	0.44
працы	175444	1892	113	1	0.44
стала	175444	1892	78	1	0.44
разам	175444	1892	107	1	0.44
тыя	175444	1892	80	1	0.44
ёсць	175444	1892	105	1	0.44
хоць	175444	1892	84	1	0.43
5	175444	1892	100	1	0.43
часу	175444	1892	99	1	0.43
павінна	175444	1892	88	1	0.43
свой	175444	1892	96	1	0.43
гэтых	175444	1892	89	1	0.43
такія	175444	1892	89	1	0.43
трэба	175444	1892	190	1	-0.58
ім	175444	1892	201	1	-0.61
гэтага	175444	1892	216	1	-0.65
была	175444	1892	217	1	-0.65
беларусаў	175444	1892	232	1	-0.69
было	175444	1892	372	3	-0.71
быў	175444	1892	246	1	-0.73
яе	175444	1892	591	5	-0.82
іх	175444	1892	649	6	-0.82
тым	175444	1892	283	1	-0.84
калі	175444	1892	472	3	-0.87
за	175444	1892	781	7	-0.88
мы	175444	1892	296	1	-0.89
як	175444	1892	1048	10	-0.93
пра	175444	1892	380	1	-1.17
толькі	175444	1892	549	2	-1.33
а	175444	1892	768	3	-1.63
не	175444	1892	2047	13	-1.93
беларусі	175444	1892	634	1	-2.15
ў	175444	1892	3470	10	-7.21
